nodejs-material-design-icons 3.0.1-2
noto-fonts 20181024-1
noto-fonts-compat 20151217-1
npm 6.6.0-1
npth 1.6-1
nspr 4.20-1
nss 3.41-1
nss-mdns 0.14.1-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p12-2
numlockx 1.2-4
obs-studio 22.0.2-3
oniguruma 6.9.1-1
openal 1.19.1-1
openbsd-netcat 1.190_2-1
opencollada 1:1.6.68-1
opencolorio 1.1.0-3
openconnect 1:7.08-2
opencore-amr 0.1.5-2
openexr 2.3.0-1
openimageio 1.8.17-2
openjpeg 1.5.2-2
openjpeg2 2.3.0-3
openresolv 3.9.0-2
openshadinglanguage 1.9.10-4
openssh 7.9p1-1
openssl 1.1.1.a-1
openssl-1.0 1.0.2.q-1
opensubdiv 3.3.3-1
openvdb 6.0.0-2
openvpn 2.4.6-1
opus 1.3-1
orc 0.4.28-1
os-prober 1.76-2
osinfo-db 20181214-1
ostree 2019.1-1
p11-kit 0.23.14-1
p7zip 16.02-5
pacman 5.1.2-2
pacman-mirrors 4.14.1-1
pacui 1.12-1
pam 1.3.1-1
pamac 7.3.4-1
pambase 20171006-1
pango 1:1.42.4-1
pangomm 2.42.0-1
papirus-icon-theme 20190106-1
papirus-maia-icon-theme 20181011-1
parted 3.2-8
